# Columns: 
# 1) Lookback time bin centre [yr] 
# 2) Lookback time bin width  [yr] 
# 3) Star formation rate in bin, obtained from original inversion [N yr^{-1} pc^{-3}] 
# 4) One-sigma standard deviation on star formation rate in bin, obtained from original inversion [N yr^{-1} pc^{-3}] 
1.2534921216228625E8	1.444688521390725E8	1.1479147654473392E-13	9.051764072056302E-14
2.6981806430135876E8	1.444688521390725E8	2.638540613878887E-12	2.8557539994076435E-13
4.142869164404313E8	1.444688521390725E8	2.6888512303001793E-12	2.452491927682326E-13
5.587557685795038E8	1.444688521390725E8	1.6747128284814326E-12	1.753205712171159E-13
7.032246207185762E8	1.444688521390725E8	1.3841537065415146E-12	1.4829624773755368E-13
8.476934728576487E8	1.444688521390725E8	1.309777328821659E-12	1.3640058969084848E-13
9.921623249967211E8	1.444688521390725E8	1.560684807398606E-12	1.4209158098338595E-13
1.1366311771357937E9	1.444688521390725E8	1.7992637501476922E-12	1.4667808808773224E-13
1.2811000292748663E9	1.444688521390725E8	1.9878110563202084E-12	1.491276249763169E-13
1.4255688814139388E9	1.444688521390725E8	2.004864497996308E-12	1.455367610263973E-13
1.5700377335530114E9	1.444688521390725E8	2.1034949545215607E-12	1.4518225602363903E-13
1.7145065856920838E9	1.444688521390725E8	2.0707484836846647E-12	1.3741223770706124E-13
1.8589754378311563E9	1.444688521390725E8	2.023327988822667E-12	1.3159883023525045E-13
2.003444289970229E9	1.444688521390725E8	2.008210323117342E-12	1.2800988146989765E-13
2.1479131421093016E9	1.444688521390725E8	1.7797292996074587E-12	1.179340529637774E-13
2.292381994248374E9	1.444688521390725E8	1.8091208819002209E-12	1.1676474364680855E-13
2.4368508463874464E9	1.444688521390725E8	1.6377447100303456E-12	1.0920506377890805E-13
2.581319698526519E9	1.444688521390725E8	1.6376753549172786E-12	1.0759642532038298E-13
2.7257885506655912E9	1.444688521390725E8	1.810130672111753E-12	1.1165352223633277E-13
2.870257402804664E9	1.444688521390725E8	1.7955087640779128E-12	1.0970858805629778E-13
3.0147262549437366E9	1.444688521390725E8	1.9681998405612932E-12	1.1349462028967248E-13
3.159195107082809E9	1.444688521390725E8	2.1868040610647353E-12	1.1829177600529875E-13
3.3036639592218814E9	1.444688521390725E8	2.274027659239645E-12	1.192185638304074E-13
3.448132811360954E9	1.444688521390725E8	2.7253528842312116E-12	1.2921476466261323E-13
3.592601663500026E9	1.444688521390725E8	2.5691685475398837E-12	1.2399356061131757E-13
3.737070515639099E9	1.444688521390725E8	2.5036165783052253E-12	1.2106574492144686E-13
3.8815393677781715E9	1.444688521390725E8	2.3299242338495092E-12	1.1574644102631609E-13
4.026008219917244E9	1.444688521390725E8	2.246359148273321E-12	1.1290474633580532E-13
4.1704770720563164E9	1.444688521390725E8	2.0672117402089533E-12	1.075066767935582E-13
4.314945924195389E9	1.444688521390725E8	1.8077028143263466E-12	9.992794743099396E-14
4.459414776334461E9	1.444688521390725E8	1.7683482891535175E-12	9.832942533134293E-14
4.603883628473534E9	1.444688521390725E8	1.6064245102277206E-12	9.312168695823292E-14
4.748352480612606E9	1.444688521390725E8	1.3971595615213383E-12	8.61944111735138E-14
4.892821332751678E9	1.444688521390725E8	1.2523023370322903E-12	8.109370100108537E-14
5.037290184890751E9	1.444688521390725E8	9.90353971299955E-13	7.168872749156232E-14
5.181759037029823E9	1.444688521390725E8	7.564171994884884E-13	6.235398126801253E-14
5.326227889168896E9	1.444688521390725E8	5.877479767077674E-13	5.4843796548032344E-14
5.470696741307968E9	1.444688521390725E8	5.010267745387967E-13	5.0295655863065937E-14
5.6151655934470415E9	1.444688521390725E8	4.470278485086664E-13	4.753746855532253E-14
5.759634445586114E9	1.444688521390725E8	4.356529509252202E-13	4.64496666568713E-14
5.904103297725186E9	1.444688521390725E8	4.4448007836169446E-13	4.6722148165520745E-14
6.048572149864259E9	1.444688521390725E8	4.85444707450601E-13	4.855617129746734E-14
6.193041002003331E9	1.444688521390725E8	5.096338410939307E-13	4.9872808951028587E-14
6.337509854142404E9	1.444688521390725E8	5.459502574136592E-13	5.1698508511089406E-14
6.481978706281476E9	1.444688521390725E8	5.889827162853298E-13	5.387645358817878E-14
6.626447558420548E9	1.444688521390725E8	5.936244370040051E-13	5.386265766886101E-14
6.770916410559621E9	1.444688521390725E8	6.406397914031267E-13	5.6574669769187406E-14
6.915385262698693E9	1.444688521390725E8	7.189671726397783E-13	5.890355864236557E-14
7.059854114837766E9	1.444688521390725E8	7.942372641963897E-13	6.115820475641108E-14
7.204322966976839E9	1.444688521390725E8	8.033834901101796E-13	6.16861939815931E-14
7.3487918191159115E9	1.444688521390725E8	8.1231347746779E-13	6.249246105389488E-14
7.493260671254984E9	1.444688521390725E8	8.779358264707719E-13	6.44517890891042E-14
7.637729523394056E9	1.444688521390725E8	9.832994628966732E-13	6.838784343620897E-14
7.782198375533129E9	1.444688521390725E8	9.770360168586521E-13	6.822235231761373E-14
7.926667227672201E9	1.444688521390725E8	1.034639734599463E-12	7.026027621558899E-14
8.071136079811274E9	1.444688521390725E8	1.1168089269089474E-12	7.33139792878564E-14
8.215604931950346E9	1.444688521390725E8	1.035572952815499E-12	6.98143096430419E-14
8.360073784089418E9	1.444688521390725E8	9.730911163884253E-13	6.756001021547841E-14
8.504542636228491E9	1.444688521390725E8	1.0995362070636424E-12	7.11295122254127E-14
8.649011488367565E9	1.444688521390725E8	1.062947100836726E-12	7.105950910331347E-14
8.793480340506638E9	1.444688521390725E8	1.0797357555228343E-12	7.063774479898184E-14
