# age, sfr, sfr_upper, sfr_lower
0.25, 0.08286604361370717, 0.1001, 0.0651
0.75, 0.07227414330218068, 0.0981, 0.0464
1.25, 0.04766355140186916, 0.0801, 0.0153
1.75, 0.0940809968847352, 0.1449, 0.0436
2.50, 0.19906542056074766, 0.2380, 0.1598
3.50, 0.1370716510903427, 0.1829, 0.0913
5.00, 0.11152647975077883, 0.1343, 0.0891
7.00, 0.030529595015576325, 0.0614, 0.0
9.00, 0.020560747663551402, 0.0495, 0.0
11.00, 0.09439252336448599, 0.1389, 0.0502
